Model,Cloud_Cost,Hardware_Acquisition_Cost,Hardware_Capex_Energy_Cost
AlphaGo Lee,,,21432.122073131133
AlphaGo Master,,,355308.3030951814
AlphaGo Zero,,,615129.9196727764
AlphaStar,381279.4742030438,4382888.796514472,121377.57777664645
Amazon Titan,23189104.015283566,426325743.20941734,7656704.716405788
Aramco Metabrain AI,,,10569979.259371083
BLOOM-176B,1983620.4839130659,12052219.881598702,995819.1170778133
BigGAN-deep 512x512,11679.395932669682,2953657.185946707,5037.481311355733
ByT5-XXL,,,86894.01351791123
Claude 2,,,4731614.739102568
Claude 3 Opus,,,16509311.00509318
Claude 3.5 Sonnet,,,24968480.126704425
Claude 3.7 Sonnet,,,29634347.26854276
DALL-E,,24500028.286350865,125818.69008565776
DeepSpeech2 (English),,36097.68134579439,206.86041456030298
Doubao-pro,,,21033047.803326618
Falcon-180B,25885511.45892119,126906267.74605912,10368712.429676345
GLM-4-Plus,,,31565648.68108201
GLaM,2098625.2999081025,11084433.27267718,527327.1675604356
GNMT,,,194308.0916724728
GPT-2 (1.5B),,,4348.443645297465
GPT-3 175B (davinci),4336473.295238095,242000906.32961005,2198104.5650957455
GPT-3.5,,,4637986.172709598
GPT-4,78562016.88093337,778066898.6709992,40695706.40406813
GPT-4 Turbo,,,24500443.08648876
GPT-4.5,,,185317313.0476319
GPT-4o,,,36122927.06009203
GShard (dense),971708.8054969327,11441862.192712046,245396.96898079183
Gemini 1.0 Ultra,198893275.08422318,597913206.2830626,28309604.039022215
Gemini 1.5 Pro,,,7753789.964772561
Gopher (280B),3509187.152671094,45273055.89057078,573498.0572048266
Grok-1,,,3234559.098057826
Grok-2,,,30499862.975523785
Grok-3,1164146793.7782238,5481967429.336009,300872431.98936605
HyperCLOVA 204B,,,426358.7992018588
Inception v3,,,1175.6846059027068
Inflection-2,,276009526.2395581,12991551.777935034
Inflection-2.5,,,11804593.326727858
InternLM,,,1505257.3779166082
JFT,33530.35426497278,548196.2089130873,17285.94030956437
Jurassic-1-Jumbo,,,807511.6596432376
LLaMA-65B,1507792.9294046576,63867772.02033351,578026.3043031124
LaMDA,1323121.987770984,11338907.693409918,211007.3703875265
Llama 2-70B,3153947.702420683,30967792.282164294,1102561.1942339484
Llama 3.1-405B,169828008.27813357,896044948.8696929,51040524.06093853
Llama 4 Behemoth (preview),,1747114301.714876,43762845.04003522
Meena,698978.5317563991,11522652.040498186,199031.9848540779
MegaScale (Production),8967297.435299827,376826213.96319133,2614019.2447163123
Megatron-BERT,251884.39618064518,12590292.313819198,178608.41194452
Megatron-LM (8.3B),216649.49140645165,12590292.313819198,113502.81962065345
Megatron-Turing NLG 530B,6422819.690590306,142311688.13659865,3714250.0013372195
Meta Pseudo Labels,252065.08800000002,11332608.300246913,50773.148439279874
Mistral Large,,,14110111.931047859
Mistral Large 2,,,19167559.155596647
MnasNet-A3,26350.179798185116,2961697.9949828596,9251.167659647494
MoE-Multi,,766169.4825688073,3874.1226501914225
NASv3 (CIFAR-10),,1771766.9284403669,20445.41908008872
Nemotron-4 340B,65529675.51362376,336631911.2524489,20528977.873844925
Noisy Student (L2),141798.15156311548,11687703.457371928,42302.771180261356
OPT-175B,1489702.370287431,32030088.831235822,733634.6369766009
OpenAI Five,10697511.391817143,32584171.428571425,4177317.756240506
OpenAI Five Rerun,,10861390.476190474,321105.9055091777
PaLM (540B),13947799.456518434,65515455.855884165,2864192.456611229
PaLM 2,,,4636852.28863748
Parti,,,427178.7119929799
PolyNet,,70870.67713761468,617.1106541638699
ProtT5-XXL,,5671227.090306014,80647.17670635034
ResNeXt-101 32x48d,221603.0719304348,8352187.801932367,139304.6860637158
ResNet-152 (ImageNet),,,121.80740581421637
ResNet-200,,,282.4022848209462
RoBERTa Large,160446.49362748646,25408257.183041997,88691.29947510219
ST-MoE,,,542905.0118956191
Switch,621402.2744829991,11382009.382636828,132111.08047003942
T5-11B,231993.15482127122,5843851.728685964,72856.34557995247
T5-3B,,,16182.285899779014
XLM-RoBERTa,,12284199.990052719,80889.66934798745
XLNet,,,12730.063733862471
Xception,20339.69746788991,665077.6758409786,12651.548319253563
Yuan 1.0,,50613616.72295362,508935.5468308593
iGPT-XL,,,104609.51262266356
mT5-XXL,,,231566.3677900813
xTrimoPGLM -100B,4120321.925142495,23783264.472702175,1823415.258302247
